"iteration","a","b","c","cor","skew","p.missing","n","mu.z","mu.x","CaseIII","Sample","corrected"
1,0.270877345721237,0.0193928244989365,0.135330481245182,0.114714530413039,-37.1397060807794,0.731726973666809,1000,44.9264196911827,35.4627502383664,0.0986616576078373,0.0298159386064135,-0.0792692817653646
2,0.0448345863260329,0.0955309224547818,0.144360936968587,0.150236561545171,-31.9395011756569,0.127430437062867,1000,35.7015415793285,62.5138426199555,0.0368897097766946,-0.0221931145871442,0.0163415661837259
3,0.085167127288878,0.0813569004647434,0.0454316116170958,0.393934063264169,9.12428931333125,0.155113660474308,1000,1.57513632439077,68.2716630632058,0.0706433284068586,0.0184508041608995,0.0288467004432775
4,0.274034954840317,0.0591109123779461,0.0484286552527919,0.29189707711339,96.267048176378,0.809143393300474,1000,14.4821046618745,5.58634584303945,0.284537312266643,0.0163899266473077,0.183558234901416
5,0.258589148428291,0.205868148850277,0.0827652332838625,0.38171566510573,-55.8518472593278,0.453202951932326,1000,39.9024871177971,99.3850024882704,-0.0877118174962463,-0.0930548789012887,-0.116151572530205
6,0.19313003635034,0.212558916164562,0.210558505542576,0.271311422344297,-49.17057659477,0.289872289239429,1000,9.20162431430072,26.1611154070124,0.0641242846930202,0.0118650992450004,-0.060768493817733
7,0.279124182555824,0.176327686244622,0.251873283879831,0.282280096202157,17.9703081026673,0.348965080012567,1000,17.6272464450449,96.6403918806463,0.109643252245355,-0.107788151559626,-0.144557513802189
8,0.242823320394382,0.0810541370417923,0.127044557081535,0.404842990916222,-85.5226567015052,0.411339158937335,1000,30.4367593955249,67.49297096394,0.150033549580975,0.0870140277893672,0.0746834997214078
9,0.0771849727258086,0.209605663502589,0.231041094940156,0.216496743727475,-92.4803258385509,0.23160671456717,1000,44.6542340796441,12.0960702886805,0.196970410251871,0.0565387037561252,0.0856142881614308
10,0.0557208494050428,0.0568328292807564,0.101628777687438,0.427149818977341,8.837715908885,0.435344035900198,1000,49.2536871926859,8.57516000978649,0.113251167292827,0.0157509948310758,-0.00183853512723164
11,0.194878545845859,0.194286168529652,0.0539070603903383,0.000683091231621802,89.397697430104,0.229831101628952,1000,89.7577368654311,9.80833095964044,0.0783232956839767,0.0199071040459209,0.0749344763370217
12,0.135635417187586,0.2498325554654,0.116872331011109,0.462731490144506,33.8929801248014,0.0332460576435551,1000,50.0761292176321,13.1120481761172,0.042409792761939,0.0203286076958868,-0.0124476542013215
13,0.0282073562499136,0.114158637612127,0.170443522115238,0.474736747215502,5.94073114916682,0.725987685495056,1000,75.5348418140784,86.9072394678369,0.259115834144187,0.112573878354184,0.0253270317930579
14,0.130532646062784,0.217012474522926,0.098220612667501,0.312848984496668,-79.6001490205526,0.508539561065845,1000,97.2994362702593,11.7503690766171,0.069245354568057,0.0348609017760703,0.105781867309541
15,0.0116351137636229,0.251942913117819,0.235005775722675,0.43314497708343,-68.3581369929016,0.0569102159002796,1000,91.7539245681837,6.85647835489362,0.03969690413306,0.0094703696783051,0.0634849422413159
16,0.253177466453053,0.098258818150498,0.00373942411970347,0.0056134753394872,13.7090665753931,0.701579423784278,1000,9.4804716296494,19.7392830392346,0.0449307050138701,0.0290649952439312,0.155750836349904
17,0.104939407948405,0.0482762637315318,0.00390444346703589,0.0727256000973284,89.8856543470174,0.359864390152507,1000,86.5264531457797,13.5173523798585,-0.0455353934045771,0.00831843935473052,-0.0439616879638665
18,0.0619085978250951,0.0727161057293415,0.158104081708007,0.0382310276618227,-70.4088920727372,0.668251268123277,1000,4.92814271710813,34.6239312551916,0.278964013801739,-0.00234735065842711,0.165249018224542
19,0.296031702565961,0.112229854613543,0.0197846930706874,0.242297101416625,-93.0078516714275,0.533286627265625,1000,70.1700327685103,11.5219847066328,-0.0834392807654177,0.0227867847159852,-0.137571563437604
20,0.193572648684494,0.164442197838798,0.0243032169761136,0.0682919630780816,-45.4763293266296,0.449602044001222,1000,90.5215692240745,12.5182583229616,0.0239956276772627,0.087293611976521,0.0397172118942539
21,0.197339281090535,0.0816473017679527,0.153110581752844,0.318281157989986,-63.6435324326158,0.0333116127178073,1000,85.2063039550558,53.3397628925741,0.0605006052335441,0.0409764524714825,0.0748257322073656
22,0.143871283857152,0.150568113173358,0.132844301406294,0.0920784979825839,-42.4122770316899,0.539166010776535,1000,8.82009756751359,1.7387411557138,0.165101712921213,0.111333709544842,0.143807405889996
23,0.299162858189084,0.21974396109581,0.170416126702912,0.238070914521813,38.5435646865517,0.0480062771122903,1000,61.1662149196491,94.7750792372972,0.110395017935031,0.0866718967470986,0.0742741574713845
24,0.283580923243426,0.0563195711933076,0.0292041258886456,0.063775014015846,74.7333052102476,0.63395972060971,1000,30.175518640317,33.3159673027694,0.0538642917879874,0.0736559369395413,-0.127366126206428
25,0.252854881086387,0.232467730832286,0.251587395183742,0.497848731116392,-57.6455536298454,0.785690749017522,1000,51.7807508585975,95.5503970617428,0.187505169808624,-0.00204137984061523,0.141229110316528
26,0.129237784515135,0.133725626673549,0.181568893999793,0.496039812103845,-38.5035100858659,0.108030570368282,1000,41.1534715909511,7.41817951202393,0.00349477847258471,-0.0396721738336751,-0.0104936242664527
27,0.0639650228898972,0.00145698983687907,0.0164623596472666,0.241741844103672,-14.1841213218868,0.40946367981378,1000,29.326722281985,83.3879941375926,-0.0554578595997312,-0.0202226517169854,-0.0888725098557416
28,0.14916306368541,0.19174021105282,0.21575182909146,0.217598677845672,1.81873282417655,0.310886413254775,1000,22.4546189187095,2.27558086626232,0.178845394412763,0.0248569017879786,0.0475098292366644
29,0.226421006536111,0.130756513215601,0.13568255987484,0.235988699248992,4.0170575492084,0.323367962893099,1000,62.8273857058957,94.0730843693018,0.124036891411628,-0.00436919265530944,0.0661100749018295
30,0.212752386974171,0.265191460470669,0.170015135407448,0.159195185638964,-56.4554866403341,0.308739729272202,1000,64.9179720319808,25.0293105840683,0.123192617668922,0.141236090286637,0.0111971217162044
31,0.022655349271372,0.244489574362524,0.0542581416433677,0.494949900661595,94.7482838761061,0.422359166806564,1000,74.085635272786,37.6188179245219,0.0554020320006904,-0.0358236131379284,-0.026514772576574
32,0.00713685422670096,0.273774747108109,0.0289908918784931,0.0552810350200161,-58.3273014053702,0.759547278704122,1000,78.855286561884,82.3723597452044,0.176090007215716,0.0912431160526812,0.0405418168819254
33,0.0806131767109036,0.107993039558642,0.275463282689452,0.305692614172585,4.02953671291471,0.865966206486337,1000,41.5767558384687,47.7353339316323,0.461629521968787,-0.10262075050688,0.421215180498521
