"a","b","c","cor","n","mu.z","mu.x","skew","p.missing","i","Sample","caseIII","corrected","uncorrected","CaseIII"
0.242,0,0.242,0,50,500,5,-100,0.1,191,0.212681488755768,NA,0.320582992664438,0.282684713433431,0.334613980850652
0.242,0.099,0.242,0,50,500,5,-100,0.1,191,0.424737411034283,NA,0.454283208940813,0.428578234812842,0.460072451483056
0.242,0.242,0.242,0,50,500,5,-100,0.1,191,0.141329718445374,NA,0.0699133453296504,0.139469245573217,0.114909953955892
0.242,0.371,0.242,0,50,500,5,-100,0.1,191,0.197687595971556,NA,0.267750663548682,0.323801255550645,0.280891559144125
0.242,0,0.242,0.1,50,500,5,-100,0.1,191,-0.218377399403605,NA,-0.20238794117858,-0.125063434326202,-0.128899363972211
0.242,0.099,0.242,0.1,50,500,5,-100,0.1,191,-0.159967976163221,NA,0.00390612975104886,-0.00360157593583584,0.0001207762390286
0.242,0.242,0.242,0.1,50,500,5,-100,0.1,191,0.148806179282261,NA,0.168907874767119,0.191984676135722,0.17906486636459
0.242,0.371,0.242,0.1,50,500,5,-100,0.1,191,-0.0143669275021869,NA,-0.0651048692113567,0.00758253029904594,-0.0684327793246267
0.242,0,0.242,0.3,50,500,5,-100,0.1,191,0.0164348726910711,NA,0.226631123406662,0.208227225488284,0.217836869045354
0.242,0.099,0.242,0.3,50,500,5,-100,0.1,191,0.309195056169155,NA,0.185744722106883,0.313939320708886,0.309557086287537
0.242,0.242,0.242,0.3,50,500,5,-100,0.1,191,0.352877862959143,NA,0.381531158528445,0.392705809477148,0.358544096071643
0.242,0.371,0.242,0.3,50,500,5,-100,0.1,191,0.109874990862554,NA,0.0309024503182188,0.0475734643315064,0.0371683995551417
0.242,0,0.242,0.5,50,500,5,-100,0.1,191,0.184021667755219,NA,0.445642911865719,0.427571206743663,0.422748609048672
0.242,0.099,0.242,0.5,50,500,5,-100,0.1,191,0.290610242999329,NA,0.170927936998904,0.215358758623889,0.21132674170525
0.242,0.242,0.242,0.5,50,500,5,-100,0.1,191,0.19584617471411,NA,0.215007328331093,0.206381231136815,0.202949197848367
0.242,0.371,0.242,0.5,50,500,5,-100,0.1,191,0.123599631229306,NA,0.196311701692482,0.202831868434843,0.169135398326992
